date,Kinneret_Level,Kfar_Giladi_Rain,Amiad_Rain,Kfar_Blum_Rain,Capernaum_Rain,Samakh_Rain,Gamla_Rain,Marom_Golan_Rain,Tzfat_Har_Kenaan_Rain,Kfar_Giladi_Humid_temperature,Kfar_Giladi_Relative_Humidity,Kfar_Giladi_Temperature,Kfar_Giladi_Wind_direction_in_degrees,Kfar_Giladi_Wind_speed,Marom_Golan_Humid_temperature,Marom_Golan_Relative_Humidity,Marom_Golan_Temperature,Marom_Golan_Wind_direction_in_degrees,Marom_Golan_Wind_speed,Tzfat_Har_Kenaan_Humid_temperature,Tzfat_Har_Kenaan_Relative_Humidity,Tzfat_Har_Kenaan_Temperature,Tzfat_Har_Kenaan_Wind_direction_in_degrees,Tzfat_Har_Kenaan_Wind_speed,Gamla_Humid_temperature,Gamla_Relative_Humidity,Gamla_Temperature,Gamla_Wind_direction_in_degrees,Gamla_Wind_speed,Kfar_Blum_Humid_temperature,Kfar_Blum_Relative_Humidity,Kfar_Blum_Temperature,Kfar_Blum_Wind_direction_in_degrees,Kfar_Blum_Wind_speed,Amiad_Humid_temperature,Amiad_Relative_Humidity,Amiad_Temperature,Amiad_Wind_direction_in_degrees,Amiad_Wind_speed,Capernaum_Humid_temperature,Capernaum_Relative_Humidity,Capernaum_Temperature,Capernaum_Wind_direction_in_degrees,Capernaum_Wind_speed,Samakh_Humid_temperature,Samakh_Relative_Humidity,Samakh_Temperature,Samakh_Wind_direction_in_degrees,Samakh_Wind_speed,day_sin,day_cos
2025-01-01,-211.285,0,0,0,0,0,0,0,0,10.9,81.0,15.0,360.0,4.0,6.9,100.0,10.9,351.0,3.2,8.2,87.0,10.0,351.0,3.2,11.3,90.0,14.5,220.0,4.0,11.9,97.0,17.2,341.0,1.5,10.6,92.0,15.1,348.0,2.1,13.3,90.0,16.7,348.0,2.1,11.9,94.0,15.3,342.0,1.6,0.017201575418260506,0.9998520419557735
2025-01-02,-211.28,0,0,0,0,0,0,0,0,11.6,72.0,16.6,340.0,2.5,7.0,98.0,11.0,315.0,2.7,6.8,82.0,10.1,315.0,2.7,10.3,85.0,15.1,360.0,5.5,12.7,96.0,18.5,332.0,1.3,11.4,80.0,16.3,323.0,2.2,13.8,87.0,18.1,323.0,2.2,12.1,94.0,16.7,345.0,1.7,0.03439806061360801,0.9994082116062598
2025-01-03,-211.275,0,0,0,0,0,0,0,0,10.8,73.0,16.5,360.0,4.5,6.3,96.0,10.3,193.0,4.8,6.1,67.0,10.0,193.0,4.8,9.4,69.0,16.0,120.0,7.0,11.9,96.0,19.3,304.0,3.6,10.3,56.0,16.9,326.0,2.3,13.5,84.0,21.4,326.0,2.3,13.5,89.0,20.2,311.0,2.4,0.051584366869408364,0.9986686402879997
2025-01-04,-211.275,0,0,0,0,0,0,0,0,11.0,58.0,17.3,250.0,2.5,6.9,86.0,13.1,266.0,4.6,6.8,51.0,11.8,266.0,4.6,9.8,50.0,16.3,90.0,8.0,12.9,93.0,20.3,311.0,1.5,10.7,41.0,17.4,347.0,4.0,13.9,74.0,21.8,347.0,4.0,13.4,88.0,20.4,303.0,2.0,0.06875540848113941,0.9976335468520451
2025-01-05,-211.275,0,0,0,0,0,0,0,0,12.1,48.0,22.5,330.0,5.5,7.0,60.0,14.0,69.0,9.6,7.7,43.0,15.0,69.0,9.6,9.9,38.0,17.5,70.0,13.5,13.0,92.0,24.2,316.0,1.8,11.8,32.0,20.9,360.0,5.1,14.8,47.0,25.3,360.0,5.1,13.7,35.0,23.7,321.0,3.8,0.08590610426133272,0.9963032375991965
2025-01-06,-211.28,0,0,0,0,0,0,0,0,12.0,76.0,18.2,320.0,5.0,6.8,81.0,11.4,150.0,6.9,8.0,77.0,11.7,150.0,6.9,10.3,62.0,16.3,60.0,8.5,13.4,76.0,21.7,286.0,3.9,11.4,60.0,18.2,323.0,3.6,14.1,61.0,21.3,323.0,3.6,12.9,54.0,21.2,327.0,3.0,0.10303137904317879,0.9946781061893646
2025-01-07,-211.28,0,0,0,0,0,0,0,0,11.7,74.0,17.8,320.0,3.5,7.2,87.0,12.4,135.0,5.1,7.3,67.0,12.2,135.0,5.1,10.0,55.0,17.0,70.0,8.5,12.7,85.0,20.9,314.0,1.6,11.0,58.0,18.0,340.0,2.3,13.5,64.0,21.2,340.0,2.3,13.7,80.0,22.9,209.0,4.0,0.1201261651823505,0.9927586335250793
2025-01-08,-211.28,0,0,0,0,0,0,0,0,11.4,62.0,17.8,350.0,2.5,7.3,80.0,13.7,178.0,4.0,7.8,56.0,12.9,178.0,4.0,10.8,56.0,18.2,130.0,9.0,13.2,91.0,22.1,324.0,1.5,11.3,64.0,18.3,336.0,3.2,15.8,70.0,21.4,336.0,3.2,13.7,78.0,22.7,313.0,2.7,0.13718540405660057,0.9905453876091833
2025-01-09,-211.285,0,0,0,0,0,0,0,0,10.7,48.0,19.5,270.0,7.5,7.1,58.0,13.6,107.0,7.4,7.9,51.0,13.3,107.0,7.4,11.0,50.0,18.6,120.0,8.0,12.2,85.0,22.2,318.0,7.6,11.7,41.0,19.5,339.0,4.9,15.6,59.0,21.6,339.0,4.9,13.8,48.0,23.3,316.0,4.8,0.1542040475626894,0.988039023376751
2025-01-10,-211.275,0.8,0.5,1.0,0.7,10.6,0.2,4.4,0.0,10.9,56.0,18.0,210.0,7.5,7.8,68.0,13.2,185.0,7.1,8.7,77.0,13.9,185.0,7.1,11.7,61.0,18.7,150.0,9.5,12.9,66.0,21.6,314.0,8.3,11.9,63.0,19.2,331.0,3.7,15.6,78.0,22.8,331.0,3.7,14.7,77.0,24.0,296.0,4.4,0.17117705961019986,0.985240282501282
